Tỉnh/Thành phố,Tỷ lệ người trả lời tin vào tòa án và các cơ quan tư pháp địa phương (%),"Tỷ lệ người trả lời cho biết thông tin về chính sách, pháp luật từ cơ quan chính quyền là đáng tin cậy (%)",Tỷ lệ người trả lời cho biết phụ huynh học sinh tiểu học KHÔNG phải chi thêm tiền để con em được quan tâm hơn (%),Tỷ lệ người trả lời cho biết người dân KHÔNG phải chi thêm tiền để nhận được giấy phép xây dựng (%),Hiểu biết về chính sách hiện hành (%),Chỉ số PAPI tổng hợp (không có trọng số)
Hà Nội,0.897942483,0.249576896,0.621256232,0.510402978,0.7452721,43.96030426
Cao Bằng,0.918800652,0.113174819,0.769991159,0.606167495,0.483298123,41.65514755
Tuyên Quang,0.882920356,0.186222681,0.818727237,0.648820877,0.622592214,42.95193684
Lào Cai,0.907270007,0.182079554,0.740747746,0.599987994,0.629939546,42.31040371
Điện Biên,0.899587154,0.201626331,0.71274823,0.622009218,0.515043855,42.02043152
Lai Châu,0.928826869,0.248219729,0.719938695,0.586147785,0.619812429,43.62225723
Sơn La,0.84472388,0.156415731,0.71431905,0.5940262080000001,0.526500106,42.39655685
Thái Nguyên,0.924772592,0.266104666,0.80759195,0.652637226,0.690501641,45.35707452
Lạng Sơn,0.88302505,0.1281268,0.826915562,0.661435008,0.611838162,43.47776794
Quảng Ninh,0.864551752,0.14550321,0.751086672,0.659576263,0.602652905,42.65023176
Phú Thọ,0.914988493,0.170598932,0.796400269,0.650081868,0.549764795,43.4530681
Bắc Ninh,0.92194877,0.194015467,0.821987112,0.679506219,0.68544274,44.93110892
Hải Phòng,0.908197367,0.135899501,0.707187244,0.593419581,0.526903627,41.93830667
Hưng Yên,0.934638102,0.178704482,0.695300093,0.639211722,0.607269604,43.94929135
Ninh Bình,0.883536653,0.152871386,0.697503226,0.61699504,0.579863311,43.02974259
Thanh Hóa,0.9411937,0.147845611,0.782403648,0.716310859,0.560921669,44.20421982
Nghệ An,0.868582785,0.120662838,0.743808985,0.698655129,0.57823801,42.84729385
Hà Tĩnh,0.916574359,0.225586861,0.802784443,0.645593405,0.734001458,45.42914963
Quảng Trị,0.897418905,0.176181174,0.724967167,0.665150173,0.716939069,42.11196613
Thừa Thiên-Huế,0.910194814,0.212012976,0.86724025,0.815422118,0.62087661,46.04153824
Đà Nẵng,0.820902175,0.130420483,0.691432734,0.587320725,0.60559639,41.51634216
Quảng Ngãi,0.809057057,0.098945973,0.631846984,0.590076029,0.500333865,40.31315613
Khánh Hòa,0.869262918,0.195726204,0.795419015,0.705935899,0.716311518,45.11986682
Gia Lai,0.839228188,0.144948276,0.751094039,0.669639526,0.583644511,41.89235613
Đắk Lắk,0.862826117,0.122487092,0.709238425,0.629061765,0.540132012,41.71377414
Lâm Đồng,0.821800779,0.162589033,0.6889374,0.532547208,0.579413143,41.11265622
Tây Ninh,0.803123702,0.121831325,0.687463919,0.600567442,0.544277966,40.17229251
Đồng Nai,0.8223213,0.151600368,0.665915241,0.486975132,0.532428636,39.92095459
TP. Hồ Chí Minh,0.835748189,0.162962547,0.634801339,0.525101034,0.657156611,42.08929444
Vĩnh Long,0.801853221,0.08182491,0.66602015,0.597032289,0.505197164,40.37668644
Đồng Tháp,0.81258737,0.091858379,0.688018743,0.616141333,0.411102006,40.45863006
An Giang,0.824587145,0.10384644,0.717428072,0.619726629,0.435879373,41.42891177
Cần Thơ,0.861182941,0.125303421,0.725790203,0.671080571,0.562062022,42.41210628
Cà Mau,0.856805589,0.178682038,0.728970902,0.667575717,0.611633641,42.45100021
